AnswerF1Score,AnswerExactMatch,language,size,type
40.89,40.87,ja,,ft
40.93,40.9,ja,125904.0,trimmed
60.37,60.37,ja,125904.0,ft_trimmed
38.49,38.49,ja,15000.0,ft_trimmed
4.29,4.29,ja,15000.0,trimmed
60.55,60.55,ja,45000.0,ft_trimmed
38.64,38.64,ja,45000.0,trimmed
63.65,63.65,ja,30000.0,ft_trimmed
39.86,39.86,ja,30000.0,trimmed
63.34,63.34,ja,60000.0,ft_trimmed
39.87,39.83,ja,60000.0,trimmed
59.13,59.13,ja,75000.0,ft_trimmed
41.01,40.97,ja,75000.0,trimmed
66.9,66.9,ja,90000.0,ft_trimmed
40.96,40.92,ja,90000.0,trimmed
63.16,63.16,ja,105000.0,ft_trimmed
40.96,40.92,ja,105000.0,trimmed
66.9,66.9,ja,120000.0,ft_trimmed
40.93,40.9,ja,120000.0,trimmed
73.67,51.35,ru,,ft
73.8,51.37,ru,147756.0,trimmed
74.83,53.4,ru,147756.0,ft_trimmed
57.68,28.36,ru,15000.0,ft_trimmed
31.19,14.14,ru,15000.0,trimmed
73.05,50.97,ru,45000.0,ft_trimmed
71.18,48.39,ru,45000.0,trimmed
75.91,54.53,ru,30000.0,ft_trimmed
70.53,47.86,ru,30000.0,trimmed
73.78,52.34,ru,60000.0,ft_trimmed
73.76,51.13,ru,60000.0,trimmed
73.06,51.51,ru,75000.0,ft_trimmed
73.86,51.25,ru,75000.0,trimmed
73.95,51.65,ru,90000.0,ft_trimmed
73.86,51.33,ru,90000.0,trimmed
75.24,53.65,ru,105000.0,ft_trimmed
73.87,51.39,ru,105000.0,trimmed
74.97,53.16,ru,120000.0,ft_trimmed
73.82,51.39,ru,120000.0,trimmed
39.24,22.43,fr,,ft
39.27,22.37,fr,131087.0,trimmed
48.57,29.42,fr,131087.0,ft_trimmed
8.67,0.19,fr,15000.0,ft_trimmed
21.8,8.72,fr,15000.0,trimmed
32.23,15.72,fr,45000.0,ft_trimmed
20.74,7.5,fr,45000.0,trimmed
9.55,0.41,fr,30000.0,ft_trimmed
20.96,7.75,fr,30000.0,trimmed
9.23,0.41,fr,60000.0,ft_trimmed
20.66,7.34,fr,60000.0,trimmed
22.72,8.19,fr,75000.0,ft_trimmed
20.43,7.28,fr,75000.0,trimmed
8.93,0.35,fr,90000.0,ft_trimmed
20.47,7.21,fr,90000.0,trimmed
13.97,2.79,fr,105000.0,ft_trimmed
39.37,22.46,fr,105000.0,trimmed
46.15,27.7,fr,120000.0,ft_trimmed
39.3,22.43,fr,120000.0,trimmed
55.91,34.75,es,,ft
55.9,34.72,es,131105.0,trimmed
57.83,37.53,es,131105.0,ft_trimmed
44.38,22.34,es,15000.0,ft_trimmed
31.69,13.77,es,15000.0,trimmed
45.87,23.42,es,45000.0,ft_trimmed
34.73,15.86,es,45000.0,trimmed
45.45,23.84,es,30000.0,ft_trimmed
34.89,15.98,es,30000.0,trimmed
44.21,22.13,es,60000.0,ft_trimmed
34.75,15.85,es,60000.0,trimmed
41.33,20.15,es,75000.0,ft_trimmed
34.79,15.94,es,75000.0,trimmed
43.11,21.24,es,90000.0,ft_trimmed
34.86,16.0,es,90000.0,trimmed
58.59,37.86,es,105000.0,ft_trimmed
55.96,34.74,es,105000.0,trimmed
58.0,36.97,es,120000.0,ft_trimmed
55.91,34.73,es,120000.0,trimmed
53.22,37.59,it,,ft
53.43,37.76,it,111056.0,trimmed
51.47,36.0,it,111056.0,ft_trimmed
45.41,29.07,it,15000.0,ft_trimmed
31.5,19.48,it,15000.0,trimmed
15.06,7.54,it,45000.0,ft_trimmed
32.02,18.87,it,45000.0,trimmed
41.71,25.51,it,30000.0,ft_trimmed
30.54,18.24,it,30000.0,trimmed
40.34,23.81,it,60000.0,ft_trimmed
31.88,18.65,it,60000.0,trimmed
38.77,23.17,it,75000.0,ft_trimmed
31.78,18.49,it,75000.0,trimmed
57.66,41.19,it,90000.0,ft_trimmed
53.46,37.82,it,90000.0,trimmed
53.98,37.73,it,105000.0,ft_trimmed
53.44,37.77,it,105000.0,trimmed
77.1,70.59,ko,,ft
77.11,70.5,ko,73357.0,trimmed
74.45,67.31,ko,73357.0,ft_trimmed
79.79,73.2,ko,15000.0,ft_trimmed
76.41,69.44,ko,15000.0,trimmed
82.86,76.85,ko,45000.0,ft_trimmed
77.15,70.5,ko,45000.0,trimmed
83.2,77.07,ko,30000.0,ft_trimmed
76.94,70.27,ko,30000.0,trimmed
79.03,72.04,ko,60000.0,ft_trimmed
77.27,70.66,ko,60000.0,trimmed
